H C M X
  -2.0056703135580140E-002   8.0760213305119770E-004  -4.1999552629250963E-005   4.1908243463029522E-004
  -4.0296862847322083E-002   7.9990938260627578E-004   2.7261909729113997E-004   4.2806733655403949E-004
  -6.0095886111093962E-002   8.0497072831109623E-004  -3.9863704253361656E-005   4.5271026461627089E-004
  -8.0339269502710031E-002   7.9999915362585945E-004   2.3802781615279560E-004   4.7117515285657500E-004
 -0.10045681887910259        8.0894791579749423E-004  -8.0125574555171367E-005   4.9041041345304973E-004
 -0.12073315686183643        8.1895020451047858E-004  -4.4153433451694810E-006   5.2162980282866728E-004
 -0.14083069378881505        8.1692730843442932E-004  -1.7391627502157227E-005   5.4027257872714797E-004
 -0.16174374274998243        8.3046546020271866E-004   3.1547880042844895E-004   5.6622921636498009E-004
 -0.18252502892700270        8.4076644949308138E-004   2.2706642386182858E-004   6.0521428860526975E-004
 -0.20314022467110235        8.4699601649070033E-004   2.7542079230519385E-004   6.2385737372162430E-004
 -0.22456695804894697        8.4763459248399231E-004  -1.7007645350184823E-004   6.5879384749909647E-004
 -0.24582595641837671        8.6594706121635029E-004   2.5816514214939548E-004   6.9486953078286187E-004
 -0.26749421369582832        8.7420321879498608E-004  -2.3632059832831808E-004   7.4282109511591629E-004
 -0.28925030111559258        8.7628884895368797E-004   6.1889049424956251E-005   7.7181781304315239E-004
 -0.31138348748423400        9.0195874329671022E-004   5.1501726698956923E-004   8.2346986062904358E-004
 -0.33394993894323899        8.9838796117923392E-004  -8.4174158826766759E-005   8.8285897570198756E-004
 -0.35679053667386995        9.4361832204137297E-004  -7.3807708955689745E-004   9.3428968484040307E-004
 -0.38066297965300133        9.3409796313206894E-004   2.7371910168712206E-004   9.9469147345493869E-004
 -0.40351386903038000        9.5745913679759487E-004  -1.0621855902154679E-004   1.0760217097139095E-003
 -0.42836915542772636        9.7811150721940909E-004  -2.8889200172882190E-004   1.1497483275840147E-003
 -0.45293272230716175        9.8995180431507568E-004   2.7080009287319901E-004   1.2489949296219083E-003
 -0.47846533929963098        1.0187426578964209E-003   1.1210465272346699E-003   1.3217253640712963E-003
 -0.50350652636755233        1.0419850452610402E-003   9.8454289715641170E-005   1.4630434155559929E-003
 -0.53037295346445279        1.0664124840749634E-003  -1.5220547264605325E-003   1.5428081882923428E-003
 -0.55710011503119794        1.1099348004230403E-003   2.6023767326415533E-004   1.6392492438866617E-003
